title,content,answer,solution,questionTypeCode,problemLevelCode,problemTypeCode,problemTypeDetailCode,metadata,createdDate,modifiedDate
릴리엔탈과 구스타프는 하늘의 새를 구경하기 위해 매일 무엇을 했나요?,어느 마을에 릴리엔탈과 구스타프라는 형제가 살았어. 릴리엔탈과 구스타프는 어릴 때부터 하늘을 자유롭게 날아다니는 새를 부러워했어. 그래서 날마다 언덕에 올라 하늘을 나는 새를 구경하곤 했지.,언덕에 올랐어요.,그들은 하늘을 나는 새를 보기 위해 언덕에 올라갔기 때문에 정답은 2번입니다.,QT01,PL01,PT03,PT0312,"{'options': ['집에서 놀았어요.', '언덕에 올랐어요.', '강에 갔어요.', '산책을 했어요.']}",2024-09-23T14:36:01.583940,2024-09-23T14:36:01.583940
물방울들은 파란 하늘을 보자 어떤 반응이었나요?,"물방울들은 바다 위로 떠올랐지. ""아, 눈부셔! 여기가 어디야?"" 파란 하늘에는 해님이 반짝반짝거리고 있었어. ""야, 바다 속과 다른 곳이네."" ""재미있겠다.""",재미있겠다.,물방울들은 바다 속과 다른 곳을 보며 재미있겠다고 하였기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['아, 너무 무서워!', '여기가 정말 예쁘다!', '내가 여기서 놀고 싶어!', '재미있겠다.']}",2024-09-23T14:36:01.583940,2024-09-23T14:36:01.583940
페네옹은 점을 찍어 그린 시냐크의 그림을 어떻게 생각하나요?,"그림 속 모델은 시냐크의 친구 펠릭스 페네옹이에요. 페네옹은 점을 찍어 그린 시냐크의 그림을 좋아했고, '신인상파'라는 말을 처음으로 만들었어요. 시냐크가 이 그림처럼 일일이 점을 찍어 그림을 그렸던 이유는 색을 직접 섞는 게 아니라, 보는 사람의 눈에서 색이 섞여 보이기를 바랐던 거예요.",시냐크의 그림을 좋아해요.,지문에서 페네옹이 시냐크의 그림을 좋아한다고 했기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['시냐크의 그림을 싫어해요.', '시냐크의 그림을 잘 모르겠어요.', '시냐크의 그림을 무서워해요.', '시냐크의 그림을 좋아해요.']}",2024-09-23T14:36:01.583940,2024-09-23T14:36:01.583940
프랑스 화가 시냐크는 언제 태어났나요?,"폴 시냐크(1863 1935)는 프랑스의 화가예요. 모네의 그림을 보고 화가가 되기로 결심했어요. 그 뒤 점묘법을 개발한 쇠라를 만나 함께 그림을 그렸어요. 안타깝게 쇠라는 젊은 나이에 죽었지만, 시냐크가 그 뒤를 이어 그림을 발전시켜 나갔어요.",1863년에 태어났어요.,시냐크는 1863년에 태어났다고 지문에서 알려주기 때문이에요.,QT01,PL01,PT03,PT0312,"{'options': ['1892년에 태어났어요.', '1863년에 태어났어요.', '1905년에 태어났어요.', '1978년에 태어났어요.']}",2024-09-23T14:36:01.583940,2024-09-23T14:36:01.583940
쇠라는 어떤 그림 방법을 개발했나요?,"폴 시냐크(1863 1935)는 프랑스의 화가예요. 모네의 그림을 보고 화가가 되기로 결심했어요. 그 뒤 점묘법을 개발한 쇠라를 만나 함께 그림을 그렸어요. 안타깝게 쇠라는 젊은 나이에 죽었지만, 시냐크가 그 뒤를 이어 그림을 발전시켜 나갔어요.",점묘법,쇠라는 점묘법을 개발했기 때문에 정답은 점묘법입니다.,QT01,PL01,PT03,PT0312,"{'options': ['유화', '수채화', '아크릴화', '점묘법']}",2024-09-23T14:36:01.583940,2024-09-23T14:36:01.583940
까치는 화가의 명함을 어떻게 하고 있나요?,하지만 어둠 속에서 까치를 노려보고 있는 고양이가 있지요. 아이가 조금만 방심하면 언제 저 고양이들이 까치에게 덤벼들지 몰라요. 아이가 까치와 새장 속 새들을 잘 지켜 주겠죠? 재미있는 점은 까치가 물고 있는 명함에 화가 자신의 이름을 적어 놓았다는 거예요. 그래서 그림에 따로 고야의 서명이 없는 거예요.,까치가 명함을 물고 있어요.,까치가 화가의 명함을 물고 있다고 지문에 나와 있어요.,QT01,PL01,PT03,PT0312,"{'options': ['까치가 명함을 뿌리고 있어요.', '까치가 명함을 가리고 있어요.', '까치가 명함을 모아두고 있어요.', '까치가 명함을 물고 있어요.']}",2024-09-23T14:36:01.583940,2024-09-23T14:36:01.583940
까치가 물고 있는 명함에 화가 자신의 이름을 적어 놓은 걸 보고 어떤 생각이 드나요?,하지만 어둠 속에서 까치를 노려보고 있는 고양이가 있지요. 아이가 조금만 방심하면 언제 저 고양이들이 까치에게 덤벼들지 몰라요. 아이가 까치와 새장 속 새들을 잘 지켜 주겠죠? 재미있는 점은 까치가 물고 있는 명함에 화가 자신의 이름을 적어 놓았다는 거예요. 그래서 그림에 따로 고야의 서명이 없는 거예요.,재밌는 발상이에요.,화가가 까치에게 이름을 써 준 것이 독특하고 기발하다고 생각하기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['까치가 너무 귀여워요.', '고양이가 무서워요.', '명함을 잃어버린 것 같아요.', '재밌는 발상이에요.']}",2024-09-23T14:36:01.583940,2024-09-23T14:36:01.583940
사운드 북의 합주를 들으면 기분이 어떤가요?,우리들의 연주회. 우리들의 연주회는 명화와 악기 소리를 함께 즐기는 사운드북이에요. 특히 일반 사운드북에는 없는 성악가의 음성을 들으면서 합주의 즐거움을 느껴 보아요.,기분이 좋고 즐거워요.,사운드 북의 합주를 들으면 기분이 좋고 즐겁기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['기분이 슬퍼요.', '기분이 지루해요.', '기분이 무서워요.', '기분이 좋고 즐거워요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
마네가 미술 전람회에 낸 작품은 무엇을 그렸나요?,"이 그림은 마네가 사진관에서 촬영한 인물 사진처럼 그려 낸 작품이에요. 하지만 배경이 텅 비어 있는 이 그림을 보고 사람들은 이해할 수 없었어요. 그래서 당시 미술 전람회에 그림을 냈지만, 떨어지고 말았어요. 지금은 오르세 미술관을 대표하는 작품으로 꼽히고 있지요.",인물 사진처럼 그린 작품,마네는 사진관에서 촬영한 인물처럼 그린 작품을 미술 전람회에 냈기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['자연 풍경', '동물', '인물 사진처럼 그린 작품', '추상화']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
사람들은 마네의 작품을 왜 이해할 수 없었나요?,"이 그림은 마네가 사진관에서 촬영한 인물 사진처럼 그려 낸 작품이에요. 하지만 배경이 텅 비어 있는 이 그림을 보고 사람들은 이해할 수 없었어요. 그래서 당시 미술 전람회에 그림을 냈지만, 떨어지고 말았어요. 지금은 오르세 미술관을 대표하는 작품으로 꼽히고 있지요.",배경이 텅 비어 있기 때문이에요.,이 그림은 배경이 비어 있어 사람들에게 이해하기 어려웠기 때문이에요.,QT01,PL01,PT03,PT0312,"{'options': ['그림이 너무 커서.', '사람들이 그림을 좋아하지 않아서.', '색깔이 이상해서.', '배경이 텅 비어 있기 때문이에요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
슐레머는 잉크와 크레용으로 무엇을 하였나요?,"야생 동물의 낙원. 오스카어 슐레머, 1939년, 개인 소장. 투명 용지에 잉크와 크레용으로 야생 동물들의 낙원을 그렸어요.",낙원 그림을 그렸어요.,"슐레머는 야생 동물들의 낙원을 그렸다고 했으므로, 낙원 그림을 그린 것이 맞습니다.",QT01,PL01,PT03,PT0312,"{'options': ['집을 그렸어요.', '꽃을 그렸어요.', '자동차를 그렸어요.', '낙원 그림을 그렸어요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
마티스가 누워서 하는 작품은 어떻게 하는 것인가요?,누워서도 작업할 수 있는 종이 오리기 작업을 통해 마티스는 커다란 기쁨을 느꼈어요. 푸른 누드는 모두 4점으로 이 그림은 그중 세 번째예요. 앙리 마티스(1869 1954)는 프랑스의 화가예요.,종이를 오려서 하는 작품이에요.,마티스는 종이 오리기 작업을 통해 작품을 만들었어요.,QT01,PL01,PT03,PT0312,"{'options': ['종이를 붙여서 하는 작품이에요.', '종이를 그려서 하는 작품이에요.', '종이를 색칠해서 하는 작품이에요.', '종이를 오려서 하는 작품이에요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
종이 오리기 작업을 하면서 마티스는 무엇을 느꼈나요?,누워서도 작업할 수 있는 종이 오리기 작업을 통해 마티스는 커다란 기쁨을 느꼈어요. 푸른 누드는 모두 4점으로 이 그림은 그중 세 번째예요. 앙리 마티스(1869 1954)는 프랑스의 화가예요.,기쁨을 느꼈어요.,마티스는 누워서도 작업할 수 있다는 것에 기쁨을 느꼈어요.,QT01,PL01,PT03,PT0312,"{'options': ['슬퍼했어요.', '어지러웠어요.', '무서웠어요.', '기쁨을 느꼈어요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
앙리 마티스의 그림은 종이 오리기 작업과 어떤 그림으로 유명한가요?,"푸른 누드. 앙리 마티스, 1952년, 풍피두 센터. 마티스의 그림은 원색으로 그린 화려한 그림도 많지만 종이를 오려 붙여 만든 작업도 아주 유명하지요. 종이 오리기 작업이 시작된 것은 수술을 받은 이후부터 이젤 앞에 서 있을 수 없었기 때문이에요.",원색으로 그린 화려한 그림,앙리 마티스는 원색으로 그린 화려한 그림으로 유명하기 때문이에요.,QT01,PL01,PT03,PT0312,"{'options': ['검은색 그림', '흐릿한 그림', '선명한 흰색 그림', '원색으로 그린 화려한 그림']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
앙리 마티스는 왜 종이를 오려 붙여서 작업했나요?,"푸른 누드. 앙리 마티스, 1952년, 풍피두 센터. 마티스의 그림은 원색으로 그린 화려한 그림도 많지만 종이를 오려 붙여 만든 작업도 아주 유명하지요. 종이 오리기 작업이 시작된 것은 수술을 받은 이후부터 이젤 앞에 서 있을 수 없었기 때문이에요.",수술을 받은 이후부터 이젤 앞에 서 있을 수 없었기 때문이에요.,수술을 받은 이후에 이젤 앞에 서 있을 수 없어서 종이를 오려 붙여 작업했어요.,QT01,PL01,PT03,PT0312,"{'options': ['그림을 그리기 위해서 여행을 갔기 때문에', '새로운 재료가 필요했기 때문에', '다른 사람의 도움을 받기 위해서', '수술을 받은 이후부터 이젤 앞에 서 있을 수 없었기 때문이에요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
뒤샹과 피카소와의 사이는 어땠나요?,"피카소, 뒤샹과 함께 근현대 미술에서 가장 중요한 화가 중 한 명이에요. 화려하고 강렬한 색깔을 잘 써서 '색채의 마술사'로도 불리지요. 피카소와 좋은 친구로 지내며 서로에게 영향을 미쳤어요.",서로를 좋아하는 친구였어요.,두 화가는 서로 영향을 주고받으며 좋은 친구로 지냈기 때문이에요.,QT01,PL01,PT03,PT0312,"{'options': ['서로를 싫어했어요.', '모른척 했어요.', '가끔 싸웠어요.', '서로를 좋아하는 친구였어요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
