isbn,textID,classification,text,imageFile,imageCaption,word_count,word_avg,word_hard,length,Cluster,Difficulty_Level
9788959991051,57122,의사소통,"깜짝 놀란 베키는 살금살금 소리가 나는 곳으로 가 보았어요. 앗! 그런데 입이 길쭉, 이빨이 뾰족뾰족. 무서운 늑대가 앉아 있는 게 아니겠어요! 그 순간 베키는 거울로 늑대와 눈이 마주치고 말았어요.",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991051_57122.jpg,날카로운 이빨을 가진 무서운 늑대가 한 손에 토끼 가면을 들고 벽난로 앞에 놓인 의자에 앉아 있었습니다.,29.0,2.5,3.0,111.0,0,1
9788959991129,56363,의사소통,"이번에는 나무에 노란 바나나가 주렁주렁 열려 있어요. “와, 향긋한 바나나다!” 위니는 바나나를 한입에 꽉 깨물었어요. 앗, 그런데 바나나가 아니라 노란 뱀의 꼬리예요! “아이코! 노란 뱀아, 정말 미안해.”",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991129_56363.jpg,위니가 나무에 주렁주렁 매달려 있는 노란 바나나를 보고 좋아합니다.,27.0,2.0,2.0,116.0,0,1
9788959991136,58443,의사소통,"그러자 주인 도깨비는 날쌘 독수리로 변신해 쫓아와요! “헉헉, 더 이상은 안 되겠어!”엘비는 그만 멈춰 섰어요. 그러자 주인 도깨비가 말했어요. “이 가방을 놓고 가서 돌려주려고 쫓아온 거예요!”",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991136_58443.jpg,작은 새로 변해 하늘을 날던 엘비는 날개를 펄럭이며 말했습니다.,26.0,1.8,2.0,109.0,0,1
9788959991136,58446,의사소통,“죄송해요. 배가 고파서 그랬어요.” 엘비가 사과를 하자 주인 도깨비가 말했어요. “남의 물건을 훔치는 건 나쁜 일이에요! 우리 빵집에서 함께 일을 하면 어때요?”,https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991136_58446.jpg,엘비는 주인도깨비에게 머리를 긁적이며 죄송하다고 말했습니다.,22.0,3.0,7.0,91.0,0,1
9788959991143,60456,의사소통,해바라기도 마찬가지였어요. “땅꼬마 꿀벌! 너에게 줄 꿀은 없단다!”,https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991143_60456.jpg,해바라기가 꿀벌 비비에게 줄 꿀은 없다고 말했습니다.,8.0,3.0,3.0,38.0,0,1
9788959991143,60492,의사소통,"그때 마음씨 착한 호박꽃이 비비를 불렀어요. “비비야, 내 꿀을 먹으렴. 그러면 힘이 날 거야!”",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991143_60492.jpg,노란 호박꽃이 비비에게 자기의 꿀을 먹으라고 말했어요.,14.0,2.5,3.0,54.0,0,1
9788959991143,60548,의사소통,"그러던 어느 날, 볼록! 호박꽃의 줄기에 동그란 열매가 생겼어요. 그리고 시간이 갈수록 호박꽃의 열매는 쑥쑥 자랐지요. ""호박꽃이 열매를 맺었어!"" ""우린 이대로 시들어 버리고 말 거야!""",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991143_60548.jpg,꽃들은 호박꽃의 줄기에 동그란 열매가 쑥쑥 자라는 모습을 보고 깜짝 놀랐어요.,25.0,2.0,3.0,105.0,0,1
9788959991143,60558,의사소통,"그러던 어느 날, 볼록! 호박꽃의 줄기에 동그란 열매가 생겼어요. 그리고 시간이 갈수록 호박꽃의 열매는 쑥쑥 자랐지요. ""호박꽃이 열매를 맺었어!"" ""우린 이대로 시들어 버리고 말 거야!""",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991143_60558.jpg,예쁜 꽃밭에 있는 모든 꽃이 시들어 말라버렸습니다.,25.0,2.0,3.0,105.0,0,1
9788959991198,69666,의사소통,"“베니야, 같이 놀자!” 친구들이 베니에게 함께 놀자고 했을 땐 부끄러워서 손가락만 꼼지락꼼지락거리고, “참 잘했어요!” 선생님에게 칭찬을 들었을 때에는 얼굴이 화끈화끈 달아올라 버렸지요!",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991198_69666.jpg,놀이터에서 친구들이 부끄럼 많은 베니에게 같이 놀자고 말합니다.,22.0,1.5,2.0,105.0,0,1
9788959991198,69668,의사소통,친구 릴리가 과자를 나누어 주었어요. 베니는 용기를 내서 “고마워. 릴리야!” 라고 말했어요. 그러자 릴리가 활짝 웃었지요.,https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991198_69668.jpg,친구 릴리가 베니에게 같이 과자를 먹자고 말했어요.,16.0,1.5,2.0,69.0,0,1
9788959991297,58346,의사소통,"개구리 부부는 개울가를 청소하고, 토끼 가족은 열심히 텃밭을 일구었지요. 영차영차! 드디어 동물 마을에 봄이 왔어요. 그러자 미리 봄을 준비한 동물 친구들은 모두 초록의 봄을 마음껏 즐겼어요!",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991297_58346.jpg,토끼 가족은 나무 옆에 있는 텃밭을 일구느라 분주히 오고 갑니다.,26.0,1.5,3.0,107.0,0,1
9788959991303,58687,의사소통,"“잡았다, 사과!” 그때 강아지가 달려나가 사과를 잡았어요. 앗, 그런데 사과가 아니라 다람쥐의 모자예요! “잡았다, 사과!” 이번에는 오리가 사과를 잡았어요.",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991303_58687.jpg,스카프를 한 오리와 양이 사과를 잡으려고 뜁니다. ,19.0,3.0,3.0,89.0,0,1
9788959991303,58741,의사소통,"바로 다람쥐가 구운 사과 파이 냄새였어요! “얘들아, 어서와!” 와! 사과 파이다. 다람쥐와 동물 친구들은 사이좋게 사과 파이를 나누어 먹었어요. 역시 함께 먹는 게 제일 맛있어요! 맛있어 냠냠.",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991303_58741.jpg,다람쥐가 구운 사과파이를 동물 친구들이 사이좋게 나누어 먹습니다. ,27.0,2.0,5.0,109.0,0,1
9788959991426,56741,의사소통,그런데 가까이 다가가 보니 예쁜 난초사마귀였어요! 그런데 갑자기 롤라가 울기 시작했어요. 친구들은 멋진 무늬가 있지만 롤라는 아무것도 없었거든요.,https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991426_56741.jpg,분홍색의 예쁜 난초사마귀를 보고 나서 룰라는 울기 시작했어요.,18.0,3.0,3.0,81.0,0,1
9788959991440,58529,의사소통,“으아아.” 막내 씨앗은 바람에 계속 휘날렸어요. 그러다 툭! 막내 씨앗은 어느 작은 집 창틀에 떨어지고 말았어요. 그곳은 흙도 별로 없는 메마른 곳이었지요.,https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991440_58529.jpg,막내 씨앗은 어느 작은 집 창틀에 떨어지고 말았어요. ,22.0,3.0,7.0,88.0,0,1
9788959991464,57295,의사소통,"해님도 일어나지 않은 이른 새벽이에요. 하지만 아기 호랑이들은 엄마를 깨우기 바빠요. “엄마, 이것 보세요!""",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991464_57295.jpg,"새벽에, 아기 호랑이들이 엄마의 등에 올라가 놀고 있어요.",14.0,1.0,1.0,61.0,0,1
9788959991464,57307,의사소통,"“엄마, 이것 보세요. 우리가 두 발로 섰어요!” 하지만 엄마는 쿨쿨, 여전히 잠만 자요.",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991464_57307.jpg,누워 있는 엄마의 곁에서 새끼 호랑이들이 두 발로 서서 놀고 있어요.,13.0,3.0,4.0,50.0,0,1
9788959991471,56401,의사소통,분명히 달콤한 맛이 날 거예요! “도넛 구름을 잡아서 엄마한테 선물로 드려야지.” 토토는 도넛 구름을 쫓아 힘껏 달리기 시작했어요.,https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991471_56401.jpg,뾰족지붕 위로 달콤한 맛이 날 것 같은 도넛 구름이 하늘 위에 떠 있습니다.,18.0,1.5,2.0,73.0,0,1
9788959991471,56422,의사소통,"콩! 아이코, 토토가 너무 빨리 달렸나 봐요. 도넛 구름을 잡으려다 나무에 코를 부딪히고 말았어요. 그사이 도넛 구름은 저 멀리 흘러가 버렸어요.",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991471_56422.jpg,나무에 코를 부딪친 토토는 어지러워 쓰러져 버렸어요.,21.0,2.0,3.0,81.0,0,1
9788959991525,56141,의사소통,"투비네 마을은 봄의 여왕 덕분에 항상 즐거운 봄이에요. 따뜻한 햇살이 비추고, 짹짹짹 새들이 노래하지요. 하지만 이웃 마을의 겨울 여왕은 모두 봄의 여왕만 좋아하고 자기는 좋아하지 않아서 화가 났어요.",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991525_56141.jpg,"따뜻한 봄 햇살이 비추고, 새들이 노래하는 투비네 마을은  거미들도 편안한 모습입니다.",28.0,1.5,2.0,112.0,0,1
9788959991525,56183,의사소통,“봄에는 다들 행복한 표정으로 다니면서 겨울만 되면 밖으로 잘 나오지도 않지. 춥다고 불평만 하고!” 그래서 겨울여왕은 눈사람 병사들을 데리고 몰래 봄의 성에 찾아가 봄의 여왕을 얼음 감옥에 가두었어요.,https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991525_56183.jpg,겨울 여왕이 눈사람 병사들을 데리고 몰래 봄의 성으로 갔습니다.,28.0,1.8,3.0,113.0,0,1
9788959991525,56226,의사소통,"“왜 이렇게 춥지? 우리 봄의 여왕께 가 보자.” 그래서 투비의 가족들은 봄의 여왕을 찾아갔어요. 그런데 성에 도착한 투비의 가족들은 깜짝 놀랐어요. 아름답던 봄의 성은 차가운 얼음으로 덮여 버리고, 무서운 눈사람 병사들이 성을 지키고 있었거든요.",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991525_56226.jpg,너무 추워서 투비의 가족들은 봄의 성으로 봄의 여왕을 찾아갔습니다.,34.0,2.25,4.0,138.0,0,1
9788959991525,56287,의사소통,"겨울 여왕을 물리친 투비는 얼음 감옥에 갇혀 있던 봄의 여왕을 풀어 주었어요. “봄의 여왕님! 저희가 왔어요!” 그러자 봄의 여왕은 자신을 구하러 온 용감한 투비와 가족들에게 감사의 인사를 했어요. “고마워, 투비야.” 쪽! 투비네 마을은 다시 봄을 되찾았어요. 따사로운 햇살이 비추고, 짹짹 새들이 노래하는 따뜻한 봄 말이에요!",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991525_56287.jpg,"봄의 여왕은 자신을 구하러 온 투비와 가족들에게 감사의 인사를 했고, 다시 따뜻한 봄이 찾아왔습니다.",45.0,1.6,4.0,184.0,0,1
9788959991525,56302,의사소통,"겨울 여왕을 물리친 투비는 얼음 감옥에 갇혀 있던 봄의 여왕을 풀어 주었어요. “봄의 여왕님! 저희가 왔어요!” 그러자 봄의 여왕은 자신을 구하러 온 용감한 투비와 가족들에게 감사의 인사를 했어요. “고마워, 투비야.” 쪽! 투비네 마을은 다시 봄을 되찾았어요. 따사로운 햇살이 비추고, 짹짹 새들이 노래하는 따뜻한 봄 말이에요!",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991525_56302.jpg,"따사로운 햇살이 비추고, 새들이 노래하는 봄이 된 마을에서 투비의 가족들이 즐거워하고 있습니다.",45.0,1.6,4.0,184.0,0,1
9788959991532,56548,의사소통,"""저 구름 너머 우주에는 무엇이 있을까?"" 니노는 하늘 위 우주가 무척 궁금해요. 그날 밤, 니노는 꿈속에서 우주 비행사가 되었어요! 하얀색 우주복을 입고, 커다란 우주선을 타고 우주로 날아갔지요. 슈웅",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991532_56548.jpg,침대에 누워 눈을 감은 니노는 꿈속에서도 별들이 가득한 우주가 궁금했어요.,28.0,1.8,3.0,113.0,0,1
9788959991594,58639,의사소통,"영차영차. 동물 친구들은 모두 힘을 합쳐 꽃밭을 만들었어요. 땅을 갈고 벽돌로 화단을 꾸몄지요. 이제 씨앗을 심어 볼까요? 콕콕. 가지도 심고, 콩이랑 무도 심어요. 쿡쿡. 국화와 장미도 심고요.",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991594_58639.jpg,"동물 친구들이 꽃밭에 무, 국화의 씨앗을 심고 물을 뿌려줍니다.",27.0,2.3333333333333335,5.0,109.0,0,1
9788959991594,58660,의사소통,"시간이 지나자 잎이 쑥쑥, 꽃망울도 톡톡! 그리고 어느 날, 예쁜 꽃이 활짝 피었어요. ""와, 예쁘다. 예뻐!"" 그런데 아기 돼지가 심은 꽃만 아직 안 피었네요!",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788959991594_58660.jpg,아기 돼지가 심은 꽃만 아직 피어 나지 않았습니다.,24.0,2.0,3.0,90.0,0,1
9788960161559,56836,의사소통,"엄마 아빠가 동생을 안고 집에 온 날, 온 동네가 떠들썩했어요. 모두 동생에게만 관심을 가지다니, 이럴 수가요! 나도 엄마에게 안아 달라고 했어요.",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788960161559_56836.jpg,노란 고양이 엄마와 회색 고양이 아빠가 아기 고양이를 안고 집으로 오고 있습니다.,21.0,2.5,4.0,82.0,0,1
9788960161559,56951,의사소통,"때때로 나는 밤늦도록 놀아도 됐지만, 동생은 언제나 일찍 잠자리에 들어야 했어요. 그럴 때면 동생은 떼를 쓰며 울었어요. 동생이 말을 배운 어느 날, 나는 파티에 가려고 집을 나섰어요. 그러자 집에 남게 된 동생이 이렇게 말하지 뭐예요! “엄마 아빠, 너무 불공평해요!”",https://eglubucket.s3.amazonaws.com/images/03_01T_01S_9788960161559_56951.jpg,나비넥타이를 한 아빠 고양이가 빨간 대문 옆에서 파티에 가려고 집을 나서는 언니 고양이를 기다리고 있습니다.,39.0,2.6,4.0,151.0,0,1
