Word,Level
가다,1
가다,1
가방,1
가위,1
가위바위보,1
가을,1
가족,1
간지럽다,1
감기,1
같이,1
개,1
개미,1
거북,1
거실,1
거울,1
거짓말,1
검은색,1
겨울,1
계단,1
고구마,1
고기,1
고래,1
고맙다,1
고양이,1
곰,1
공,1
공놀이,1
공룡,1
공원,1
공주,1
과일,1
과자,1
교실,1
구름,1
구멍,1
구슬,1
국,1
귀,1
귀엽다,1
그네,1
그릇,1
그리다,1
그림,1
그림,1
그만,1
글씨,1
글자,1
금요일,1
기다리다,1
기린,1
기차,1
기침,1
길,1
길다,1
김밥,1
김치,1
까만색,1
깡충깡충,1
깨끗하다,1
꼬리,1
꽃,1
꽃밭,1
꿀,1
꿀꺽,1
꿀꿀,1
꿀벌,1
끝,1
끝나다,1
나,1
나무,1
나무젓가락,1
나뭇잎,1
나비,1
나쁘다,1
나이,1
날개,1
날다,1
날씨,1
남자,1
낮다,1
낮잠,1
내일,1
냄새,1
냄새나다,1
냉장고,1
너,1
너희,1
넘어지다,1
네모,1
넷,1
노란색,1
노랗다,1
노래,1
노래하다,1
놀다,1
놀라다,1
놀이,1
놀이터,1
높다,1
높이높이,1
누구,1
누구누구,1
누나,1
눈,1
눈물,1
눈사람,1
눈썹,1
눕다,1
느리다,1
늑대,1
다,1
다람쥐,1
다르다,1
다리,1
다섯,1
다시,1
다치다,1
단추,1
달,1
달걀,1
달리기,1
달리다,1
닭,1
더럽다,1
던지다,1
덥다,1
도깨비,1
도둑,1
도시락,1
도와주다,1
돈,1
돌다,1
돌멩이,1
동그라미,1
동물,1
동물원,1
동생,1
동요,1
동전,1
동화,1
돼지,1
되다,1
된장찌개,1
두부,1
둘,1
듣다,1
들다,1
등,1
따뜻하다,1
딸기,1
딸꾹질,1
땅,1
떡,1
떡볶이,1
또,1
뚜껑,1
뛰다,1
뛰어가다,1
뜨겁다,1
마트,1
만나다,1
만두,1
만들다,1
만들다,1
만화,1
많다,1
많이,1
말,1
말하다,1
맛있다,1
맵다,1
머리,1
먹다,1
먹다,1
멈추다,1
멍멍,1
모두,1
모르다,1
모양,1
모으다,1
모자,1
목,1
목소리,1
목요일,1
몸,1
무겁다,1
무릎,1
무섭다,1
문,1
물,1
물고기,1
미끄럼틀,1
미안하다,1
바구니,1
바꾸다,1
바나나,1
바다,1
바닥,1
바람,1
바지,1
박수,1
반,1
반갑다,1
반짝반짝,1
반찬,1
발,1
발가락,1
밤,1
밥,1
방,1
방귀,1
방학,1
배,1
배부르다,1
배우다,1
버리다,1
버스,1
벌레,1
벗다,1
베개,1
벽,1
별,1
병,1
병아리,1
병원,1
보다,1
보다,1
볶음밥,1
봄,1
부르다,1
부모님,1
부엌,1
불,1
비,1
비행기,1
빠르다,1
빨간색,1
빨강,1
빨갛다,1
빨대,1
빨리,1
빵,1
빵집,1
뼈,1
사과,1
사다,1
사람,1
사랑,1
사랑하다,1
사슴,1
사자,1
사진,1
사탕,1
산,1
상자,1
새,1
색깔,1
색연필,1
색종이,1
색칠하다,1
생선,1
생일,1
생일잔치,1
선물,1
선생님,1
설날,1
세수,1
셋,1
소,1
소금,1
소리,1
손,1
손가락,1
손뼉,1
손톱,1
솜사탕,1
수박,1
수영,1
수영장,1
수요일,1
숙제,1
숟가락,1
숨다,1
숫자,1
숲,1
쉬다,1
쉽다,1
스케치북,1
스티커,1
슬프다,1
시계,1
시소,1
시원하다,1
시장,1
식탁,1
신나다,1
신다,1
신발,1
신호등,1
싫다,1
심심하다,1
싸우다,1
쌀,1
쓰다,1
쓰레기,1
쓰레기통,1
씹다,1
씻다,1
아기,1
아니다,1
아들,1
아래,1
아빠,1
아이,1
아이스크림,1
아저씨,1
아줌마,1
아침,1
아프다,1
악어,1
안경,1
안녕,1
앉다,1
알,1
알다,1
앞,1
야채,1
약,1
약속,1
양,1
양말,1
어깨,1
어둡다,1
어디,1
어렵다,1
어른,1
어린이,1
어흥,1
언니,1
얼굴,1
얼룩말,1
얼음,1
엄마,1
엄마,1
없다,1
엉엉,1
엎드리다,1
여름,1
여보세요,1
여섯,1
여우,1
여자아이,1
연필,1
옆,1
옆집,1
예쁘다,1
옛날,1
오늘,1
오다,1
오리,1
오이,1
오줌,1
옥수수,1
옷,1
왕,1
왕자,1
왜,1
왼쪽,1
우리,1
우리,1
우리나라,1
우산,1
우유,1
운동화,1
울다,1
움직이다,1
웃다,1
원숭이,1
월요일,1
위,1
위쪽,1
유치원,1
음식,1
의자,1
이,1
이기다,1
이름,1
이불,1
이야기,1
이야기책,1
이야기하다,1
인사,1
인사하다,1
인형,1
일어나다,1
일어서다,1
일요일,1
일찍,1
읽다,1
입,1
입다,1
있다,1
있다,1
자다,1
자동차,1
자르다,1
자리,1
자전거,1
작다,1
잘못하다,1
잠,1
잠옷,1
잠자다,1
잠자리,1
잡다,1
장갑,1
장난,1
장난감,1
재미,1
재미없다,1
재미있다,1
저녁,1
전화,1
점심,1
접다,1
접시,1
젓가락,1
